Tweet,Sentimiento
#AMLO dice que se entera de la existencia de la comisión para la discriminación por la polémica con @ChumelTorres ¿… https://t.co/Vcmx9Ra0Cs,pos
¿Cómo reaccionaría Estados Unidos si el Gobierno de López Obrador le vendiera gasolina a Venezuela? Compartimos el… https://t.co/gxs1WJTvdr,neg
"Es el momento perfecto para elegir un nuevo cargador portátil o de pared, o un cargador que pueda hacer ambas cosas… https://t.co/dFqJhdUNvf",neg
"""Por supuesto que no"": eso respondió Fauci cuando le preguntaron si va a ir al evento de campaña de Trump… https://t.co/inQJ1wPyRY",neg
El gobierno federal de EE.UU. quedó con 63 millones de dosis de hidroxicloroquina (que no puede distribuir)… https://t.co/ZO7gfWAoMj,neg
Brasil reporta 32.188 casos nuevos de covid-19 en un día https://t.co/2cXnF5xDIj https://t.co/gVN8b8ibjr,pos
"RT @cnncolombia: Carlos Lehder, considerado como uno de los principales capos del narcotráfico del mundo, quedó en libertad luego de sortea…",neg
La OMS asegura que 11 vacunas contra el #coronavirus están en fase de ensayos con humanos en todo el mundo. Hacemos… https://t.co/bkPfALeGTK,neg
⚠️ Perú supera a Italia en número de casos confirmados de covid-19 https://t.co/Q1sixQsGAK https://t.co/dIsLRvP36S,neu
"""No se muevan. No se muevan. Solo relájense. Nadie está herido. ¡Por favor! No quiero herir a ninguno"".… https://t.co/q8OP2EBu7W",neg
"Según el extracto publicado en el diario, después de que Xi se mostrara dispuesto a reabrir las discusiones comerci… https://t.co/rthDnH9WAJ",neg
¿Qué dicen ambos países sobre el incidente? ¿Cuál es el origen de este esté conflicto? José Levy nos explica los de… https://t.co/Et7WVSKuF7,neg
"El gobernador de Nueva York, Andrew Coumo, descartó buscar la candidatura presidencial del Partido Demócrata. Esto… https://t.co/fPHefNvFCy",neg
La 23 veces campeona de torneos de Grand Slam dijo que estaba ansiosa por llegar a la cancha en Nueva York. https://t.co/5kY1k6auGl,neg
AMLO aseguró que que se enteró de la existencia de la Conapred debido a la polémica que se generó por la cancelació… https://t.co/q0Vb0OxR55,neg
"Tenemos que ser el cambio de EE.UU., dice manifestante negro adoptado por familia mexicana. https://t.co/0x5jpohx16",pos
"¿Recuerdas a Spot, el perro robot que ha sido sensación por internet en años? Ahora lo puedes comprar.
https://t.co/I8AlPIalDS",neg
"No sé cuando voy a poder regresar a mi país, dice peruana varada en Italia. Escasez de dinero y un lugar donde qued… https://t.co/jBVrdun9jK",neg
"RT @deportescnn: Estos son los detalles del formato de la Liga de Campeones para culminar el torneo...
https://t.co/Nk5oEGQh39",pos
🎧 #Podcast • ¿Es la dexametasuna una esperanza real para pacientes graves con #coronavirus? El @drhuerta lo analiza… https://t.co/58xGW2rJmt,neu
"La evolución del racismo a veces es sutil, pero no por eso deja de ser dañino. Mira lo que tiene que decir al respe… https://t.co/N00MFl2Zd1",pos
Ministerio de Justicia presenta denuncia penal contra el fiscal general de Bolivia https://t.co/6RjwdLHD18,neg
"El exasesor de seguridad nacional John Bolton afirma que el presidente Donald Trump le pidió a su homólogo chino, X… https://t.co/FHN1ajh5DM",neg
"¿Esperabas la nueva temporada de Fortnite? Ya llegó y estas son las novedades que debes saber:
https://t.co/XtCxURhYk3",neu
"La NASA lo rechazó en 11 ocasiones. Sin embargo, perseveró una y otra vez hasta que logró su sueño de convertirse e… https://t.co/ehAjTo3xq9",neg
"El dominicano Manny Cruz le cuenta a @MarielaCNN cómo fue la invitación de Elvis Crespo para participar en ""Imagina… https://t.co/t4086efYZj",pos
¿Cómo se manifiesta el racismo en América Latina? Dialogamos sobre el tema con el profesor de Sociología Eduardo Bo… https://t.co/Q7esUQw8KI,neg
"Fiscalía dice que el exagente Rolfe pateó a Rayshard Brooks ""mientras estaba en el suelo, mientras estaba allí luch… https://t.co/P1LaXmHGPi",pos
Un exactivista evangélico habla sobre la sesión fotográfica del presidente Trump después de que la policía expulsar… https://t.co/PWPsMkQQ6b,neg
"El fiscal explicó varias violaciones a protocolos y reglas de la ciudad, incluyendo que una de las balas impactó ve… https://t.co/Z9rNgRQiG4",neg
"🎧 #Podcast • Esta semana dieron a conocer los resultados preliminares de un estudio, aún no publicado, que indica q… https://t.co/LioYnVmPCr",neu
"ÚLTIMA HORA - El fiscal de distrito del condado de Fulton, Paul Howard, anunció 11 cargos contra el exagente de Atl… https://t.co/FtUVWJ2kj1",neu
Esta noche en @CamiloCNN no te pierdas la entrevista con la reconocida cantante y actriz mexicana Angélica María. 9… https://t.co/YSXSRwQdFk,neg
